A	50518	Diabetes Mellitus	MESH:D003920	marker/mechanism		NA		1473152
A	50518	Diabetes Mellitus, Type 2	MESH:D003924	marker/mechanism		NA		8146154
A	50518	Liver Neoplasms	MESH:D008113	marker/mechanism		NA		15175105
A	50518	Neoplasms	MESH:D009369	marker/mechanism		NA		1473152
A	50518	Obesity	MESH:D009765	marker/mechanism		NA		1473152|25447408|25448685|8146154
A	50518	Pigmentation Disorders	MESH:D010859	marker/mechanism		NA		8146154
A1BG	1	Hepatomegaly	MESH:D006529	marker/mechanism		NA		28108177
A1BG	1	Schizophrenia	MESH:D012559	marker/mechanism		NA		25821032
A2M	2	Acute Kidney Injury	MESH:D058186	marker/mechanism		NA		23052191
A2M	2	Adenoma, Liver Cell	MESH:D018248	marker/mechanism		NA		15509519
A2M	2	Alzheimer Disease	MESH:D000544	marker/mechanism		NA	104300	15023809|9697696|9811940
A2M	2	Carcinoma, Hepatocellular	MESH:D006528	marker/mechanism		NA		15509519
A2M	2	Colonic Neoplasms	MESH:D003110	marker/mechanism		NA		15059925
A2M	2	Hepatolenticular Degeneration	MESH:D006527	marker/mechanism		NA		23519153
A2M	2	Liver Cirrhosis	MESH:D008103	marker/mechanism		NA		26396155
A2M	2	Liver Cirrhosis, Experimental	MESH:D008106	marker/mechanism		NA		25380136
A2M	2	Lung Diseases	MESH:D008171	marker/mechanism		NA		2475424
A2M	2	Lung Neoplasms	MESH:D008175	marker/mechanism		NA		17902193|19180532
A2M	2	Nephrotic Syndrome	MESH:D009404	marker/mechanism		NA		11304663
A2ML1	144568	Otitis Media	MESH:D010033	marker/mechanism		NA	166760	26121085
A4GALT	53947	Burkitt Lymphoma	MESH:D002051	marker/mechanism		NA		11482875
AAAS	8086	Achalasia Addisonianism Alacrimia syndrome	MESH:C536008	marker/mechanism		NA	231550	17853339|23315990
AAAS	8086	Prostatic Neoplasms	MESH:D011471	marker/mechanism		NA		24763052
AADAC	13	Liver Cirrhosis, Experimental	MESH:D008106	marker/mechanism		NA		25380136
AADAT	51166	Carcinoma, Hepatocellular	MESH:D006528	marker/mechanism		NA		28284560
AADAT	51166	Liver Cirrhosis, Experimental	MESH:D008106	marker/mechanism		NA		25380136
AAGAB	79719	Keratoderma, Palmoplantar	MESH:D007645	marker/mechanism		NA		23064416
AAGAB	79719	Keratosis palmoplantaris papulosa	MESH:C536161	marker/mechanism		NA	148600	
AANAT	15	Sleep Disorders, Circadian Rhythm	MESH:D020178	marker/mechanism		NA		12736803
AARS1	16	Charcot-Marie-Tooth Disease, Axonal, Type 2n	MESH:C567653	marker/mechanism		NA	613287	
AARS1	16	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 29	OMIM:616339	marker/mechanism		NA	616339	
AARS2	57505	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 8	OMIM:614096	marker/mechanism		NA	614096	
AARS2	57505	LEUKOENCEPHALOPATHY, PROGRESSIVE, WITH OVARIAN FAILURE	OMIM:615889	marker/mechanism		NA	615889	
AASS	10157	Chemical and Drug Induced Liver Injury	MESH:D056486	marker/mechanism		NA		25231249
AASS	10157	Hyperlysinemias	MESH:D020167	marker/mechanism		NA	238700	
ABAT	18	Autistic Disorder	MESH:D001321	marker/mechanism		NA		15830322
ABAT	18	Gamma aminobutyric acid transaminase deficiency	MESH:C535407	marker/mechanism		NA	613163	10407778
ABAT	18	Gastroesophageal Reflux	MESH:D005764	marker/mechanism		NA		21552517
ABAT	18	Genetic Predisposition to Disease	MESH:D020022	marker/mechanism		NA		21552517
ABAT	18	Lethargy	MESH:D053609	marker/mechanism		NA		10407778
ABAT	18	Liver Cirrhosis, Experimental	MESH:D008106	marker/mechanism		NA		25380136
ABAT	18	Muscle Hypotonia	MESH:D009123	marker/mechanism		NA		10407778
ABAT	18	Psychomotor Disorders	MESH:D011596	marker/mechanism		NA		10407778
ABAT	18	Reflex, Abnormal	MESH:D012021	marker/mechanism		NA		10407778
ABAT	18	Seizures	MESH:D012640	marker/mechanism		NA		10407778
ABCA1	19	Atherosclerosis	MESH:D050197	marker/mechanism		NA		22022523
ABCA1	19	Colorectal Neoplasms	MESH:D015179	marker/mechanism		NA		22294766
ABCA1	19	Familial HDL deficiency	MESH:C538394	marker/mechanism		NA		10431236|11476965
ABCA1	19	Hypercholesterolemia	MESH:D006937	marker/mechanism		NA		22022523
ABCA1	19	Hyperlipoproteinemia Type II	MESH:D006938	marker/mechanism		NA		16030523
ABCA1	19	Hypoalphalipoproteinemias	MESH:D052456	marker/mechanism		NA	604091	
ABCA1	19	Kidney Failure, Chronic	MESH:D007676	marker/mechanism		NA		19878707
ABCA1	19	Peripheral Nervous System Diseases	MESH:D010523	marker/mechanism		NA		21245421
ABCA1	19	Tangier Disease	MESH:D013631	marker/mechanism		NA	205400	10431236|11476965|17710129
ABCA10	10349	Colorectal Neoplasms	MESH:D015179	marker/mechanism		NA		22294766
ABCA12	26154	Colorectal Neoplasms	MESH:D015179	marker/mechanism		NA		22294766
ABCA12	26154	Harlequin type ichthyosis	MESH:C538424	marker/mechanism		NA	242500	
ABCA12	26154	Ichthyosis, Lamellar	MESH:D017490	marker/mechanism		NA		16675967
ABCA12	26154	Lamellar ichthyosis, type 2	MESH:C537264	marker/mechanism		NA	601277	
ABCA13	154664	Colorectal Neoplasms	MESH:D015179	marker/mechanism		NA		22294766
